Index,X (m),Y (m),Z (m),Distance (m),Power (dBm),Phase (deg)
85,-22.2518,-15.6136,2.5,33.7296,-250.0,0.0
86,-21.7518,-15.6136,2.5,33.4065,-250.0,0.0
87,-21.2518,-15.6136,2.5,33.0877,-250.0,0.0
88,-20.7518,-15.6136,2.5,32.7735,-250.0,0.0
89,-20.2518,-15.6136,2.5,32.4639,-250.0,0.0
90,-19.7518,-15.6136,2.5,32.1591,-250.0,0.0
91,-19.2518,-15.6136,2.5,31.8592,-250.0,0.0
92,-18.7518,-15.6136,2.5,31.5645,-250.0,0.0
93,-18.2518,-15.6136,2.5,31.2749,-250.0,0.0
94,-17.7518,-15.6136,2.5,30.9907,-250.0,0.0
95,-17.2518,-15.6136,2.5,30.712,-108.181,74.4902
96,-16.7518,-15.6136,2.5,30.439,-108.984,164.461
97,-16.2518,-15.6136,2.5,30.1717,-111.504,158.048
98,-15.7518,-15.6136,2.5,29.9105,-118.213,65.6174
99,-15.2518,-15.6136,2.5,29.6554,-132.224,169.105
100,-14.7518,-15.6136,2.5,29.4066,-128.46,-61.9078
101,-14.2518,-15.6136,2.5,29.1642,-136.629,-77.1444
102,-13.7518,-15.6136,2.5,28.9284,-145.975,170.753
103,-13.2518,-15.6136,2.5,28.6994,-158.805,-43.9758
104,-12.7518,-15.6136,2.5,28.4774,-159.605,100.188
105,-12.2518,-15.6136,2.5,28.2624,-250.0,0.0
106,-11.7518,-15.6136,2.5,28.0547,-96.0763,108.938
107,-11.2518,-15.6136,2.5,27.8545,-96.0873,136.352
108,-10.7518,-15.6136,2.5,27.6618,-99.1536,14.1639
109,-10.2518,-15.6136,2.5,27.4769,-101.956,143.125
110,-9.75181,-15.6136,2.5,27.2999,-104.207,-63.7801
111,-9.25181,-15.6136,2.5,27.1309,-102.806,101.619
112,-8.75181,-15.6136,2.5,26.9702,-116.109,-67.0566
113,-8.25181,-15.6136,2.5,26.8178,-102.662,-160.341
114,-7.75181,-15.6136,2.5,26.674,-96.6828,-48.4324
115,-7.25181,-15.6136,2.5,26.5387,-95.0118,37.0066
116,-6.75181,-15.6136,2.5,26.4123,-87.2664,87.1081
117,-6.25181,-15.6136,2.5,26.2947,-81.7834,110.423
118,-5.75181,-15.6136,2.5,26.1862,-81.9526,-33.9431
119,-5.25181,-15.6136,2.5,26.0868,-81.7604,-27.9339
120,-4.75181,-15.6136,2.5,25.9966,-83.9742,42.1089
121,-4.25181,-15.6136,2.5,25.9158,-85.9923,-120.742
122,-3.75181,-15.6136,2.5,25.8444,-87.7701,154.718
123,-3.25181,-15.6136,2.5,25.7824,-82.1708,141.162
124,-2.75181,-15.6136,2.5,25.7301,-79.4047,177.231
125,-2.25181,-15.6136,2.5,25.6874,-79.7424,-29.1007
126,-1.75181,-15.6136,2.5,25.6544,-80.2948,-168.476
127,-1.25181,-15.6136,2.5,25.631,-81.1188,120.631
128,-0.751808,-15.6136,2.5,25.6174,-83.1961,171.717
129,-0.251808,-15.6136,2.5,25.6136,-84.1166,-76.6142
