N,X,Y,Z,Distance,Power (dBm),Phase (deg),Angle
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-169
1756.0,-0.751808,-4.61356,2.5,14.6204,-78.7384,60.861,-169
1828.0,-1.75181,-4.11356,2.5,14.1875,-79.3438,-83.9575,-169
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.0015,-125.957,-169
1052.0,-19.7518,-9.11356,2.5,27.2668,-104.924,81.7182,-169
1052.0,-19.7518,-9.11356,2.5,27.2668,-104.924,81.7182,-168
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.1476,-170.255,-168
1828.0,-1.75181,-4.11356,2.5,14.1875,-75.9647,-71.7596,-168
1756.0,-0.751808,-4.61356,2.5,14.6204,-76.9518,44.954,-168
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-168
1530.0,-2.75181,-6.11356,2.5,16.2982,-79.6059,-82.6836,-168
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-168
258.0,-9.75181,-14.6136,2.5,26.3639,-88.5593,-7.08026,-168
478.0,-10.7518,-13.1136,2.5,25.3645,-96.6461,-162.477,-168
475.0,-12.2518,-13.1136,2.5,26.0182,-98.7666,-151.522,-168
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-168
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-168
853.0,-8.25181,-10.6136,2.5,22.0921,-91.2655,-97.1411,-168
774.0,-10.7518,-11.1136,2.5,23.5564,-97.7275,-176.841,-168
917.0,-13.2518,-10.1136,2.5,23.9198,-97.3765,-155.156,-168
613.0,-17.2518,-12.1136,2.5,27.86,-96.8417,77.992,-168
693.0,-14.2518,-11.6136,2.5,25.7224,-104.697,-130.662,-168
715.0,-3.25181,-11.6136,2.5,21.8134,-78.8723,57.7803,-168
3234.0,-1.75181,5.38644,2.5,4.8349,-69.8917,-62.1492,-168
3342.0,-21.7518,6.38644,2.5,21.7484,-250.0,0.0,-168
3189.0,-24.2518,5.38644,2.5,24.3865,-250.0,0.0,-168
3167.0,1.74819,4.88644,2.5,5.51061,-71.0942,-108.433,-168
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-168
3489.0,-22.2518,7.38644,2.5,22.1012,-250.0,0.0,-168
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-168
2276.0,0.248192,-1.11356,2.5,11.1274,-75.9185,-23.7065,-168
2235.0,-20.2518,-1.11356,2.5,22.8333,-118.919,19.8783,-168
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-168
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-168
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-168
2018.0,-17.7518,-2.61356,2.5,21.5284,-107.621,-0.282041,-168
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-168
2902.0,-19.7518,3.38644,2.5,20.54,-250.0,0.0,-168
2573.0,0.748192,0.886438,2.5,9.17429,-76.4775,133.151,-168
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-168
2648.0,1.24819,1.38644,2.5,8.75259,-75.0031,46.7916,-168
2642.0,-1.75181,1.38644,2.5,8.73412,-75.2073,-138.251,-168
2633.0,-6.25181,1.38644,2.5,10.4666,-73.695,-74.5824,-168
1052.0,-19.7518,-9.11356,2.5,27.2668,-105.185,137.288,-167
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.1101,-56.3671,-167
1828.0,-1.75181,-4.11356,2.5,14.1875,-79.881,-80.1817,-167
1756.0,-0.751808,-4.61356,2.5,14.6204,-75.4666,65.5376,-167
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-167
1530.0,-2.75181,-6.11356,2.5,16.2982,-77.6705,-67.6137,-167
1701.0,8.74819,-5.11356,2.5,17.6179,-96.2567,150.603,-167
258.0,-9.75181,-14.6136,2.5,26.3639,-88.8048,-56.0614,-167
478.0,-10.7518,-13.1136,2.5,25.3645,-89.6677,-138.199,-167
475.0,-12.2518,-13.1136,2.5,26.0182,-96.1253,96.812,-167
121.0,-4.25181,-15.6136,2.5,25.9158,-85.7582,-134.68,-167
18.0,-18.7518,-16.1136,2.5,31.9715,-250.0,0.0,-167
853.0,-8.25181,-10.6136,2.5,22.0921,-93.7523,-47.3612,-167
774.0,-10.7518,-11.1136,2.5,23.5564,-91.5172,125.3,-167
917.0,-13.2518,-10.1136,2.5,23.9198,-96.0416,-15.4938,-167
613.0,-17.2518,-12.1136,2.5,27.86,-109.492,26.1518,-167
693.0,-14.2518,-11.6136,2.5,25.7224,-101.133,-172.011,-167
715.0,-3.25181,-11.6136,2.5,21.8134,-79.7935,73.3676,-167
3234.0,-1.75181,5.38644,2.5,4.8349,-69.5307,-61.8522,-167
3342.0,-21.7518,6.38644,2.5,21.7484,-250.0,0.0,-167
3167.0,1.74819,4.88644,2.5,5.51061,-69.8332,-103.846,-167
3189.0,-24.2518,5.38644,2.5,24.3865,-113.089,-16.8037,-167
3695.0,6.74819,8.38644,2.5,7.23605,-72.2579,-174.524,-167
3922.0,9.24819,9.88644,2.5,9.55453,-73.0046,-43.6873,-167
3489.0,-22.2518,7.38644,2.5,22.1012,-107.301,-126.64,-167
2276.0,0.248192,-1.11356,2.5,11.1274,-74.2069,-22.9922,-167
2235.0,-20.2518,-1.11356,2.5,22.8333,-118.919,19.8783,-167
2223.0,-26.2518,-1.11356,2.5,28.2261,-250.0,0.0,-167
2216.0,7.24819,-1.61356,2.5,13.8541,-78.4182,-168.338,-167
2441.0,8.74819,-0.113562,2.5,13.5741,-79.7077,-12.4355,-167
2018.0,-17.7518,-2.61356,2.5,21.5284,-107.022,-118.502,-167
2707.0,-6.25181,1.88644,2.5,10.0592,-76.4672,130.915,-167
2902.0,-19.7518,3.38644,2.5,20.54,-101.583,-79.905,-167
2573.0,0.748192,0.886438,2.5,9.17429,-78.809,116.047,-167
2654.0,4.24819,1.38644,2.5,9.74326,-76.5963,-82.0951,-167
2648.0,1.24819,1.38644,2.5,8.75259,-74.0306,47.9045,-167
2642.0,-1.75181,1.38644,2.5,8.73412,-77.2392,-152.269,-167
2633.0,-6.25181,1.38644,2.5,10.4666,-73.6658,-74.9057,-167
1052.0,-19.7518,-9.11356,2.5,27.2668,-100.396,57.182,-166
1218.0,-10.7518,-8.11356,2.5,20.9099,-98.149,152.594,-166
1828.0,-1.75181,-4.11356,2.5,14.1875,-78.7278,-58.6122,-166
1756.0,-0.751808,-4.61356,2.5,14.6204,-76.6615,45.0753,-166
1925.0,-27.2518,-3.11356,2.5,29.9677,-250.0,0.0,-166
